player,position,team,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
Hannibal Mejbri,MF,Tunisia,19-320,2003,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Haris Seferović,FW,Switzerland,30-288,1992,0.8,14,11,2,0,0,0,0,0,0,0,0,0,10,1,0
Harry Kane,FW,England,29-132,1993,3.5,75,73,1,0,2,1,5,1,0,0,0,0,49,1,3
Harry Maguire,DF,England,29-277,1993,3.8,316,302,14,14,0,2,1,0,0,0,0,0,276,0,3
Harry Souttar,DF,Australia,24-046,1998,4.0,167,163,4,4,0,2,0,0,0,0,0,0,138,0,1
Harry Wilson,MF,Wales,25-260,1997,1.8,64,56,8,4,1,1,9,0,4,4,0,0,48,0,1
Hassan Al Tambakti,DF,Saudi Arabia,23-301,1999,2.0,55,49,6,6,0,1,0,0,0,0,0,0,40,0,1
Hassan Al-Haydos,MF,Qatar,31-361,1990,2.3,80,75,5,2,0,2,4,1,2,2,0,0,65,0,3
Hattan Bahebri,MF,Saudi Arabia,30-144,1992,0.0,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0
Henry Martín,FW,Mexico,30-019,1992,1.6,20,16,2,0,0,0,0,0,0,0,0,0,13,2,0
Hernán Galíndez,GK,Ecuador,35-252,1987,3.0,74,46,28,7,0,0,0,0,0,0,0,0,44,0,0
Hidemasa Morita,MF,Japan,27-211,1995,3.2,157,154,3,2,1,1,3,1,0,0,0,0,129,0,1
Hiroki Ito,DF,Japan,23-209,1999,0.5,63,61,2,0,0,1,0,2,0,0,0,0,58,0,0
Hiroki Sakai,MF,Japan,32-239,1990,1.3,47,32,14,1,0,0,2,13,0,0,0,0,28,1,1
Hirving Lozano,FW,Mexico,27-130,1995,2.8,77,69,7,5,3,0,24,2,0,0,0,0,42,1,7
Homam Ahmed,DF,Qatar,23-104,1999,2.9,105,81,23,1,0,2,5,22,0,0,0,0,77,1,6
Hong Chul,DF,Korea Republic,32-081,1990,0.5,20,18,2,0,0,2,2,2,0,0,0,0,17,0,0
Hossein Hosseini,GK,IR Iran,30-160,1992,1.8,47,30,15,4,0,0,0,0,0,0,0,0,23,2,0
Hossein Kanaanizadegan,DF,IR Iran,28-259,1994,0.5,11,10,1,0,0,0,0,1,0,0,0,0,8,0,0
Hugo Lloris,GK,France,35-346,1986,3.0,87,53,34,4,0,0,0,0,0,0,0,0,56,0,0
Hwang Hee-chan,MF,Korea Republic,26-315,1996,1.3,59,56,2,0,0,0,3,2,0,0,0,0,45,1,4
Hwang In-beom,MF,Korea Republic,26-078,1996,3.7,247,242,5,5,0,8,6,0,0,0,0,0,194,0,2
Hwang Ui-jo,FW,Korea Republic,30-101,1992,1.2,11,10,1,0,0,0,0,0,0,0,0,0,9,0,0
Héctor Herrera,MF,Mexico,32-232,1990,1.8,78,76,2,2,0,2,4,0,0,0,0,0,64,0,3
Héctor Moreno,DF,Mexico,34-324,1988,3.0,195,179,16,15,0,2,0,1,0,0,0,0,165,0,0
Ibrahima Konaté,DF,France,23-196,1999,2.2,185,177,8,7,0,1,0,1,0,0,0,0,170,0,0
Idrissa Gana Gueye,MF,Senegal,33-072,1989,3.0,133,113,17,4,0,0,15,2,7,4,2,0,107,3,2
Iliman Ndiaye,FW,Senegal,22-276,2000,1.5,32,29,3,0,0,0,2,1,0,0,0,0,25,0,0
Ismail Jakobs,DF,Senegal,23-112,1999,3.1,156,115,41,7,0,0,18,29,5,3,2,0,107,0,0
Ismail Mohamad,FW,Qatar,32-246,1990,1.9,,,,,,,8,,,,,,,,
Ismaila Sarr,FW,Senegal,24-285,1998,3.8,81,78,3,0,1,0,8,3,0,0,0,0,52,0,2
Ismaël Koné,MF,Canada,20-184,2002,1.2,101,99,2,2,0,4,1,0,0,0,0,0,96,0,1
Issam Jebali,FW,Tunisia,30-347,1991,2.0,35,30,4,0,0,0,2,1,0,0,0,0,25,1,2
Ivan Ilić,MF,Serbia,21-265,2001,0.4,20,19,1,1,0,0,0,0,0,0,0,0,19,0,0
Ivan Perišić,FW,Croatia,33-308,1989,4.1,153,137,16,0,1,2,12,15,1,0,0,0,107,0,4
Iñaki Williams,FW,Ghana,28-175,1994,3.0,42,41,1,0,0,0,1,0,0,0,0,0,29,0,3
Jack Grealish,FW,England,27-088,1995,0.9,54,53,1,1,0,0,0,0,0,0,0,0,48,0,3
Jackson Irvine,MF,Australia,29-275,1993,3.9,128,121,7,2,0,1,2,1,0,0,0,0,103,0,4
Jackson Porozo,DF,Ecuador,22-125,2000,1.1,44,43,1,0,1,0,0,1,0,0,0,0,39,0,0
Jakub Kamiński,MF,Poland,20-185,2002,2.6,61,59,2,0,0,0,4,2,0,0,0,0,37,0,3
Jakub Kiwior,DF,Poland,22-295,2000,3.9,205,193,12,5,0,3,0,0,0,0,0,0,174,0,2
Jamal Musiala,MF,Germany,19-284,2003,2.9,105,104,0,0,2,0,1,0,0,0,0,0,85,1,2
Jamie Maclaren,FW,Australia,29-131,1993,0.6,15,15,0,0,0,0,2,0,0,0,0,0,7,0,0
Jan Bednarek,DF,Poland,26-239,1996,0.1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
Jan Vertonghen,DF,Belgium,35-227,1987,3.0,269,263,6,5,0,2,0,1,0,0,0,0,238,0,4
Jason Cummings,FW,Australia,27-128,1995,0.4,6,4,2,0,0,0,0,0,0,0,0,0,4,0,1
Jawad El Yamiq,DF,Morocco,30-281,1992,0.7,9,8,1,1,0,1,0,0,0,0,0,0,5,0,1
Jean-Charles Castelletto,DF,Cameroon,27-315,1995,2.0,82,77,5,5,1,2,3,0,0,0,0,0,66,0,0
Jeong Woo-yeong,MF,Korea Republic,23-078,1999,0.5,15,13,1,0,0,0,1,0,0,0,0,0,12,1,0
Jeremy Doku,MF,Belgium,20-194,2002,0.2,14,14,0,0,0,0,3,0,0,0,0,0,8,0,2
Jeremy Sarmiento,MF,Ecuador,20-174,2002,0.9,37,33,4,0,0,0,5,2,2,1,1,0,23,0,2
Jerome Ngom Mbekeli,MF,Cameroon,24-068,1998,0.1,2,2,0,0,0,0,2,0,0,0,0,0,1,0,0
Jesper Lindstrøm,MF,Denmark,22-281,2000,2.2,52,49,2,0,0,0,3,2,0,0,0,0,36,1,2
Jesús Ferreira,FW,United States,21-348,2000,0.5,19,18,1,0,0,0,0,0,0,0,0,0,16,0,1
Jesús Gallardo,DF,Mexico,28-114,1994,3.0,134,109,22,4,0,0,9,18,0,0,0,0,93,3,4
Jewison Bennette,MF,Costa Rica,18-175,2004,1.1,14,14,0,0,0,0,2,0,0,0,0,0,11,0,1
Jhegson Méndez,MF,Ecuador,25-225,1997,2.0,140,135,4,4,1,0,2,0,0,0,0,0,128,1,2
Joachim Andersen,DF,Denmark,26-190,1996,3.0,250,246,3,3,0,8,1,0,0,0,0,0,198,1,2
Joakim Mæhle,DF,Denmark,25-201,1997,2.8,146,120,26,1,0,0,4,25,0,0,0,0,119,0,2
Joe Allen,MF,Wales,32-268,1990,1.0,36,34,2,2,0,0,0,0,0,0,0,0,30,0,1
Joe Morrell,MF,Wales,25-338,1997,0.4,14,14,0,0,0,0,0,0,0,0,0,0,12,0,0
Joe Rodon,DF,Wales,25-046,1997,3.0,169,167,2,2,0,0,0,0,0,0,0,0,152,0,0
Joel Campbell,FW,Costa Rica,30-164,1992,3.0,138,116,19,6,0,5,7,2,1,1,0,0,104,3,4
Johan Venegas,FW,Costa Rica,34-010,1988,0.8,14,13,1,0,0,0,1,0,0,0,0,0,11,0,0
John Stones,DF,England,28-193,1994,3.8,382,380,2,2,0,3,0,0,0,0,0,0,363,0,0
Jonas Hofmann,FW,Germany,30-146,1992,0.3,20,19,1,0,0,0,0,1,0,0,0,0,16,0,1
Jonathan David,FW,Canada,22-327,2000,2.1,60,53,6,0,0,0,0,0,0,0,0,0,41,1,3
Jonathan Osorio,MF,Canada,30-178,1992,1.3,57,55,2,0,0,0,0,2,0,0,0,0,52,0,0
Jordan Ayew,FW,Ghana,31-087,1991,1.5,46,34,12,2,0,0,8,2,6,6,0,0,35,0,2
Jordan Henderson,MF,England,32-173,1990,2.1,120,112,8,7,1,0,7,1,0,0,0,0,98,0,3
Jordan Morris,FW,United States,28-042,1994,0.0,4,4,0,0,0,0,2,0,0,0,0,0,1,0,1
Jordan Pickford,GK,England,28-275,1994,4.0,136,106,29,2,0,0,0,0,0,0,0,0,106,1,1
Jordan Veretout,MF,France,29-281,1993,0.7,36,35,1,1,0,0,0,0,0,0,0,0,33,0,1
Jordi Alba,DF,Spain,33-261,1989,2.9,372,330,40,6,2,0,14,34,0,0,0,0,328,2,6
Jorge Eduardo Sánchez,DF,Mexico,24-362,1997,1.9,87,62,25,0,0,0,2,25,0,0,0,0,69,0,2
Josh Sargent,FW,United States,22-290,2000,1.7,33,31,2,0,0,0,1,0,0,0,0,0,29,0,1
Joshua Kimmich,MF,Germany,27-302,1995,3.0,267,234,31,7,1,2,21,4,18,8,7,2,226,2,2
Josip Juranović,DF,Croatia,27-113,1995,4.3,265,213,52,2,0,0,16,50,0,0,0,0,202,0,10
José Cifuentes,MF,Ecuador,23-270,1999,0.7,44,42,2,0,1,0,2,2,0,0,0,0,33,0,2
José María Giménez,DF,Uruguay,27-321,1995,3.0,174,165,8,7,1,1,2,1,0,0,0,0,141,1,0
João Cancelo,DF,Portugal,28-194,1994,3.0,225,199,26,4,0,6,10,22,0,0,0,0,184,0,4
João Félix,FW,Portugal,23-027,1999,2.7,101,99,1,0,1,0,3,1,0,0,0,0,78,1,2
João Mário,FW,Portugal,29-322,1993,0.9,40,37,2,0,0,0,2,0,2,1,1,0,37,1,0
João Palhinha,MF,Portugal,27-151,1995,0.4,31,30,1,1,0,0,0,0,0,0,0,0,26,0,0
Joško Gvardiol,DF,Croatia,20-318,2002,4.3,321,311,9,8,2,2,1,1,0,0,0,0,282,1,0
Juan Pablo Vargas,DF,Costa Rica,27-184,1995,1.0,24,18,6,1,0,0,0,5,0,0,0,0,19,0,0
Jude Bellingham,MF,England,19-161,2003,3.6,218,213,4,1,1,3,3,1,0,0,0,0,199,1,5
Jules Koundé,DF,France,24-025,1998,2.0,145,123,20,0,0,0,1,20,0,0,0,0,119,2,3
Julián Álvarez,FW,Argentina,22-310,2000,2.3,56,55,1,0,1,0,3,1,0,0,0,0,41,0,3
Jung Woo-young,MF,Korea Republic,32-358,1989,3.4,211,208,1,1,0,5,1,0,0,0,0,0,178,2,3
Junior Hoilett,FW,Canada,32-185,1990,1.8,59,50,8,0,0,0,13,1,5,1,4,0,43,1,2
Junya Ito,MF,Japan,29-273,1993,3.6,97,80,15,1,0,0,14,9,5,0,3,0,59,2,4
Jurriën Timber,DF,Netherlands,21-173,2001,3.0,216,207,8,6,1,0,0,2,0,0,0,0,195,1,0
Kai Havertz,FW,Germany,23-179,1999,1.1,34,32,2,0,0,0,2,0,0,0,0,0,27,0,1
Kalidou Koulibaly,DF,Senegal,31-170,1991,4.0,205,185,20,18,0,4,0,0,0,0,0,0,156,0,3
Kalvin Phillips,MF,England,27-005,1995,0.5,19,19,0,0,0,0,0,0,0,0,0,0,17,0,0
Kamal Miller,DF,Canada,25-205,1997,3.0,205,194,9,5,0,0,0,4,0,0,0,0,186,2,1
Kamaldeen Sulemana,FW,Ghana,20-295,2002,0.6,19,19,0,0,0,0,4,0,0,0,0,0,10,0,3
Kamil Glik,DF,Poland,34-307,1988,4.0,130,125,5,4,0,0,0,0,0,0,0,0,118,0,0
Kamil Grosicki,MF,Poland,34-182,1988,0.0,6,6,0,0,0,0,3,0,0,0,0,0,4,0,0
Kaoru Mitoma,MF,Japan,25-201,1997,1.8,70,57,13,0,0,0,0,13,0,0,0,0,50,0,2
Karim Ansarifard,FW,IR Iran,32-248,1990,0.4,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
Karim Boudiaf,MF,Qatar,32-082,1990,2.1,106,103,3,3,0,2,0,0,0,0,0,0,94,0,0
Karl Toko Ekambi,FW,Cameroon,30-084,1992,1.8,53,50,3,1,0,1,3,0,2,0,2,0,43,0,2
Karol Świderski,FW,Poland,25-318,1997,0.5,7,6,1,0,0,0,0,0,0,0,0,0,7,0,0
Kasper Dolberg,FW,Denmark,25-062,1997,1.3,18,15,3,0,0,0,1,0,0,0,0,0,15,0,0
Kasper Schmeichel,GK,Denmark,36-032,1986,3.0,87,69,18,1,0,0,0,1,0,0,0,0,72,0,0
Keanu Baccus,MF,Australia,24-183,1998,1.3,41,41,0,0,1,1,0,0,0,0,0,0,26,0,1
Kellyn Acosta,MF,United States,27-136,1995,0.5,12,12,0,0,0,0,0,0,0,0,0,0,10,0,0
Kendall Waston,DF,Costa Rica,34-340,1988,2.5,71,69,2,2,0,0,0,0,0,0,0,0,57,0,0
Kenneth Taylor,MF,Netherlands,20-205,2002,0.1,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0
Kevin De Bruyne,FW,Belgium,31-162,1991,3.0,136,118,17,5,4,2,18,5,7,0,6,0,93,1,8
Kevin Rodríguez,FW,Ecuador,22-278,2000,0.0,,,,,,,0,,,,,,,,
Kevin Álvarez,DF,Mexico,23-326,1999,0.8,29,20,9,0,0,0,1,9,0,0,0,0,19,0,1
Keylor Navas,GK,Costa Rica,35-357,1986,3.0,102,60,41,8,0,0,0,0,0,0,0,0,61,1,0
Keysher Fuller,DF,Costa Rica,28-149,1994,2.8,63,55,8,1,0,0,2,7,0,0,0,0,44,0,2
Kieffer Moore,FW,Wales,30-121,1992,2.5,56,56,0,0,0,1,0,0,0,0,0,0,36,0,2
Kieran Trippier,DF,England,32-079,1990,2.3,195,156,39,9,0,1,10,22,8,2,6,0,165,0,3
Kim Jin-su,DF,Korea Republic,30-177,1992,3.5,146,115,31,1,0,0,16,30,0,0,0,0,105,0,4
Kim Min-jae,DF,Korea Republic,26-022,1996,3.0,191,190,0,0,0,6,1,0,0,0,0,0,167,1,2
Kim Moonhwan,DF,Korea Republic,27-128,1995,4.0,242,197,45,2,0,0,15,43,0,0,0,0,201,0,4
Kim Seung-gyu,GK,Korea Republic,32-068,1990,4.0,128,85,43,14,0,0,0,0,0,0,0,0,93,0,0
Kim Young-gwon,DF,Korea Republic,32-283,1990,3.9,209,201,7,7,0,7,1,0,0,0,0,0,178,1,0
Kingsley Coman,FW,France,26-177,1996,1.2,56,54,2,0,0,0,6,0,2,0,2,0,50,0,0
Ko Itakura,DF,Japan,25-314,1997,3.0,111,109,2,2,1,0,0,0,0,0,0,0,98,0,1
Koke,MF,Spain,30-333,1992,0.6,62,60,0,0,0,2,0,0,0,0,0,0,56,2,0
Krystian Bielik,MF,Poland,24-337,1998,2.4,99,96,3,3,0,3,0,0,0,0,0,0,86,0,2
Krzysztof Piątek,FW,Poland,27-159,1995,0.3,6,6,0,0,0,0,0,0,0,0,0,0,2,0,0
Krépin Diatta,FW,Senegal,23-285,1999,2.0,73,71,1,0,0,1,4,0,1,0,1,0,60,1,0
Kudus Mohammed,FW,Ghana,22-127,2000,2.7,87,78,8,4,1,1,6,1,1,1,0,0,62,1,3
Kwon Chang-hoon,FW,Korea Republic,28-160,1994,0.6,25,24,1,0,0,0,3,0,1,0,0,0,19,0,2
Kwon Kyung-won,DF,Korea Republic,30-310,1992,1.0,43,41,2,2,0,0,0,0,0,0,0,0,39,0,0
Kye Rowles,DF,Australia,24-166,1998,4.0,187,180,6,5,0,1,0,0,0,0,0,0,165,1,3
Kyle Walker,DF,England,32-193,1990,1.6,134,115,19,3,0,4,2,16,0,0,0,0,119,0,0
Kylian Mbappé,FW,France,23-352,1998,3.3,160,151,9,1,3,2,21,3,5,3,0,0,120,0,9
Lautaro Martínez,FW,Argentina,25-107,1997,2.0,42,37,5,0,0,0,0,0,0,0,0,0,32,0,0
Lawrence Ati-Zigi,GK,Ghana,26-008,1996,3.0,78,39,39,8,0,0,0,0,0,0,0,0,54,0,0
Leander Dendoncker,DF,Belgium,27-236,1995,1.8,122,119,3,2,0,0,0,1,0,0,0,0,119,0,0
Leandro Paredes,MF,Argentina,28-161,1994,1.0,141,138,2,2,0,1,0,0,0,0,0,0,133,1,0
Leandro Trossard,FW,Belgium,28-003,1994,1.1,57,56,1,0,0,1,2,1,0,0,0,0,43,0,2
Lee Jae-sung,MF,Korea Republic,30-119,1992,2.3,97,97,0,0,0,0,1,0,0,0,0,0,84,0,2
Lee Kangin,MF,Korea Republic,21-291,2001,1.6,77,66,11,5,0,1,12,0,5,3,2,0,62,0,1
Leon Goretzka,MF,Germany,27-304,1995,1.8,57,55,0,0,0,0,1,0,0,0,0,0,42,2,1
Leroy Sané,FW,Germany,26-330,1996,1.2,58,58,0,0,1,0,2,0,0,0,0,0,47,0,0
Liam Millar,DF,Canada,23-071,1999,0.1,9,7,2,0,0,0,2,1,1,1,0,0,4,0,0
Lionel Messi,FW,Argentina,35-166,1987,4.0,222,195,24,12,2,3,10,0,10,1,6,0,180,3,10
Lisandro Martínez,DF,Argentina,24-323,1998,1.8,111,103,7,6,0,0,1,1,0,0,0,0,96,1,0
Lovro Majer,MF,Croatia,24-324,1998,0.4,34,34,0,0,0,0,1,0,0,0,0,0,29,0,1
Loïs Openda,FW,Belgium,22-294,2000,0.1,5,5,0,0,0,0,1,0,0,0,0,0,3,0,0
Lucas Cavallini,FW,Canada,29-344,1992,0.2,2,2,0,0,0,0,1,0,0,0,0,0,2,0,0
Lucas Hernández,DF,France,26-296,1996,0.1,10,10,0,0,0,0,1,0,0,0,0,0,5,0,0
Lucas Paquetá,MF,Brazil,25-102,1997,2.3,141,136,4,1,0,0,3,3,0,0,0,0,115,1,3
Luis Chávez,MF,Mexico,26-326,1996,3.0,139,118,20,8,2,5,19,0,12,6,5,0,99,1,1
Luis Suárez,FW,Uruguay,35-317,1987,1.6,40,37,3,0,0,1,0,0,0,0,0,0,25,0,3
Luka Jović,FW,Serbia,24-349,1997,0.4,10,9,1,0,0,0,0,1,0,0,0,0,6,0,0
Luka Modrić,MF,Croatia,37-089,1985,4.0,281,259,21,11,0,2,22,0,10,3,4,0,230,1,4
Lukas Klostermann,DF,Germany,26-187,1996,0.7,52,42,10,2,0,1,0,8,0,0,0,0,51,0,0
Luke Shaw,DF,England,27-148,1995,3.7,329,287,42,14,0,1,16,25,3,0,3,0,280,0,8
Majid Hosseini,DF,IR Iran,26-170,1996,3.0,106,100,6,4,0,2,0,1,0,0,0,0,86,0,1
Manuel Akanji,DF,Switzerland,27-141,1995,4.0,259,246,12,9,0,6,1,1,0,0,0,0,229,1,1
Manuel Neuer,GK,Germany,36-255,1986,3.0,127,111,16,2,0,0,0,0,0,0,0,0,115,0,0
Marcelo Brozović,MF,Croatia,30-021,1992,4.3,370,361,8,8,1,2,2,0,0,0,0,0,323,1,9
Marco Asensio,FW,Spain,26-320,1996,2.5,119,113,5,2,0,2,8,1,2,0,0,0,89,1,2
Marcos Acuña,DF,Argentina,31-040,1991,2.7,162,136,25,3,0,1,11,18,4,0,4,0,129,1,5
Marcos Llorente,DF,Spain,27-311,1995,1.3,106,89,16,3,0,0,2,13,0,0,0,0,95,1,2
Marcus Rashford,FW,England,25-037,1997,1.5,63,62,1,0,0,1,1,1,0,0,0,0,46,0,2
Marcus Thuram,FW,France,25-123,1997,0.5,11,10,1,0,0,0,0,0,0,0,0,0,9,0,0
Mario Götze,MF,Germany,30-187,1992,0.4,23,23,0,0,0,0,2,0,0,0,0,0,21,0,2
Mario Pašalić,FW,Croatia,27-301,1995,1.4,41,41,0,0,1,0,0,0,0,0,0,0,33,0,0
Mark-Anthony Kaye,MF,Canada,28-005,1994,0.7,61,59,2,1,0,0,0,1,0,0,0,0,51,0,0
Marko Grujić,MF,Serbia,26-238,1996,0.1,17,16,1,0,0,0,0,1,0,0,0,0,14,0,0
Marko Livaja,FW,Croatia,29-103,1993,1.7,39,36,3,0,1,0,1,0,0,0,0,0,22,0,2
Marquinhos,DF,Brazil,28-207,1994,3.4,272,264,8,6,0,2,1,2,0,0,0,0,258,0,1
Marten de Roon,MF,Netherlands,31-253,1991,1.5,92,88,3,2,0,0,0,1,0,0,0,0,75,1,0
Martin Braithwaite,FW,Denmark,31-185,1991,1.1,20,19,1,0,0,1,0,0,0,0,0,0,14,0,4
Martin Hongla,MF,Cameroon,24-266,1998,1.3,61,60,1,0,1,0,1,1,0,0,0,0,49,0,1
Martinelli,FW,Brazil,21-172,2001,1.3,45,41,4,0,0,0,5,4,0,0,0,0,34,0,0
Martín Cáceres,DF,Uruguay,35-244,1987,1.0,79,66,13,1,0,0,0,12,0,0,0,0,68,0,0
Mason Mount,MF,England,23-331,1999,1.9,71,69,2,1,0,2,3,0,0,0,0,0,59,0,1
Mateo Kovačić,MF,Croatia,28-215,1994,3.9,225,216,9,2,2,1,3,1,5,0,0,0,199,0,4
Matheus Nunes,MF,Portugal,24-102,1998,0.8,33,32,1,0,0,0,3,1,0,0,0,0,28,0,1
Mathew Leckie,MF,Australia,31-306,1991,3.7,103,101,2,0,0,0,4,2,0,0,0,0,67,0,8
Mathew Ryan,GK,Australia,30-243,1992,4.0,164,111,53,16,0,1,0,0,0,0,0,0,113,0,0
Mathias Jensen,MF,Denmark,26-340,1996,0.9,67,63,4,1,0,1,2,3,0,0,0,0,52,0,0
Mathías Olivera,DF,Uruguay,25-037,1997,2.8,133,107,26,1,0,0,6,25,0,0,0,0,104,0,5
Matt Turner,GK,United States,28-166,1994,4.0,128,98,30,10,0,0,0,0,0,0,0,0,101,0,0
Matthias Ginter,DF,Germany,28-322,1994,0.0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Matthijs de Ligt,DF,Netherlands,23-117,1999,1.0,45,43,2,2,0,1,0,0,0,0,0,0,41,0,0
Matty Cash,DF,Poland,25-122,1997,4.0,160,127,33,3,0,2,9,30,0,0,0,0,123,0,6
Mattéo Guendouzi,FW,France,23-237,1999,0.9,33,30,3,1,0,1,0,1,0,0,0,0,27,0,2
Matías Vecino,MF,Uruguay,31-105,1991,2.2,106,105,1,1,0,1,1,0,0,0,0,0,76,0,5
Matías Viña,DF,Uruguay,25-028,1997,0.2,21,17,4,1,0,1,2,3,0,0,0,0,11,0,2
Maxi Gómez,FW,Uruguay,26-115,1996,0.3,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0
Maya Yoshida,DF,Japan,34-105,1988,4.3,232,227,5,4,0,1,0,0,0,0,0,0,198,0,0
Mehdi Taremi,FW,IR Iran,30-142,1992,3.0,78,71,7,0,0,0,0,0,1,0,0,0,58,0,3
Mehdi Torabi,MF,IR Iran,28-088,1994,0.7,37,36,1,0,1,0,1,1,0,0,0,0,30,0,1
Memphis,FW,Netherlands,28-297,1994,2.4,86,78,6,0,1,0,1,1,0,0,0,0,69,2,3
Meshaal Barsham,GK,Qatar,24-296,1998,2.0,63,38,24,4,0,0,0,0,0,0,0,0,45,1,0
Michael Estrada,FW,Ecuador,26-244,1996,2.5,50,48,1,0,1,0,0,1,0,0,0,0,28,1,1
Michał Skóraś,MF,Poland,22-295,2000,0.5,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0
Michel Aebischer,MF,Switzerland,25-335,1997,0.2,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0
Michy Batshuayi,FW,Belgium,29-066,1993,1.7,24,22,2,0,0,0,0,0,0,0,0,0,16,0,1
Miki Yamane,DF,Japan,28-350,1993,0.7,33,28,5,0,0,0,2,5,0,0,0,0,24,0,2
Mikkel Damsgaard,MF,Denmark,22-157,2000,1.7,72,72,0,0,0,1,3,0,0,0,0,0,55,0,0
Milad Mohammadi,DF,IR Iran,29-069,1993,2.2,68,56,12,0,0,1,2,12,0,0,0,0,44,0,4
Milan Borjan,GK,Canada,35-045,1987,3.0,98,72,25,10,0,1,0,0,0,0,0,0,76,1,0
Miloš Degenek,DF,Australia,28-223,1994,2.0,101,71,30,4,0,0,1,26,0,0,0,0,67,0,5
Miloš Veljković,DF,Serbia,27-072,1995,2.5,112,111,1,1,0,5,0,0,0,0,0,0,98,0,3
Mislav Oršić,FW,Croatia,29-343,1992,0.2,10,9,1,0,1,0,1,0,1,1,0,0,6,0,0
Mitchell Duke,FW,Australia,31-323,1991,3.0,63,60,3,0,0,0,1,0,0,0,0,0,36,0,2
Mohamed Ali Ben Romdhane,MF,Tunisia,23-092,1999,0.8,21,21,0,0,0,0,1,0,0,0,0,0,14,0,2
Mohamed Dräger,DF,Tunisia,26-165,1996,1.5,50,33,17,0,0,0,3,17,0,0,0,0,36,0,4
Mohamed Kanno,MF,Saudi Arabia,28-076,1994,3.0,147,142,5,5,0,1,0,0,0,0,0,0,119,0,1
Mohammed Al-Breik,DF,Saudi Arabia,30-083,1992,0.7,48,42,6,1,0,0,2,5,0,0,0,0,39,0,0
Mohammed Al-Owais,GK,Saudi Arabia,31-058,1991,3.0,100,54,46,17,0,1,0,0,0,0,0,0,57,0,0
Mohammed Muntari,FW,Qatar,28-352,1993,0.7,19,19,0,0,0,0,0,0,0,0,0,0,17,0,0
Mohammed Salisu,DF,Ghana,23-234,1999,3.0,151,144,7,7,0,0,0,0,0,0,0,0,109,0,2
Mohammed Waad,MF,Qatar,23-080,1999,0.3,12,12,0,0,0,0,1,0,0,0,0,0,9,0,1
Moisés Caicedo,MF,Ecuador,21-035,2001,3.0,153,149,4,4,0,0,0,0,0,0,0,0,126,0,3
Montassar Talbi,DF,Tunisia,24-195,1998,3.0,137,133,4,3,0,2,0,0,0,0,0,0,118,0,3
Morteza Pouraliganji,DF,IR Iran,30-232,1992,3.0,128,122,6,4,0,3,2,0,0,0,0,0,92,0,3
Moumi Ngamaleu,FW,Cameroon,28-151,1994,1.1,25,24,1,0,0,0,1,1,0,0,0,0,21,0,0
Munir,GK,Morocco,33-211,1989,1.0,28,15,13,0,0,0,0,0,0,0,0,0,19,0,0
Musab Kheder,DF,Qatar,29-072,1993,0.1,3,1,2,1,0,1,0,1,0,0,0,0,3,0,0
Na Sang-ho,FW,Korea Republic,26-117,1996,1.3,37,36,1,0,0,1,8,1,0,0,0,0,24,0,3
Nader Ghandri,DF,Tunisia,27-292,1995,1.0,33,32,1,0,0,0,0,0,0,0,0,0,27,0,0
Nahuel Molina,DF,Argentina,24-245,1998,3.2,220,184,34,0,0,0,2,34,0,0,0,0,191,2,1
Nampalys Mendy,MF,Senegal,30-167,1992,3.0,159,156,3,3,0,8,2,0,0,0,0,0,141,0,3
Nasser Al-Dawsari,FW,Saudi Arabia,23-353,1998,0.1,11,11,0,0,0,0,1,0,0,0,0,0,11,0,0
Nathan Aké,DF,Netherlands,27-292,1995,4.0,274,266,8,3,0,1,0,5,0,0,0,0,253,0,0
Nathaniel Atkinson,DF,Australia,23-177,1999,0.9,34,24,10,2,0,1,0,8,0,0,0,0,27,0,0
Nawaf Al Abed,MF,Saudi Arabia,32-315,1990,1.0,39,36,3,1,0,1,2,0,2,0,1,0,33,0,0
Nayef Aguerd,DF,Morocco,26-252,1996,3.9,158,148,10,9,0,2,0,0,0,0,0,0,137,0,1
Naïm Sliti,MF,Tunisia,30-133,1992,1.3,51,42,9,2,0,0,13,2,5,2,2,0,29,0,0
Neco Williams,DF,Wales,21-238,2001,2.3,101,75,26,0,0,2,5,26,0,0,0,0,69,0,5
Nemanja Gudelj,MF,Serbia,31-021,1991,1.0,52,51,1,1,0,1,0,0,0,0,0,0,44,0,1
Nemanja Maksimović,MF,Serbia,27-315,1995,1.4,57,55,2,2,0,0,2,0,0,0,0,0,50,0,1
Nemanja Radonjić,DF,Serbia,26-295,1996,0.7,24,20,4,0,0,0,6,4,0,0,0,0,15,0,1
