player,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received
Maxi Gómez,FW,Uruguay,26-115,1996,0.3,9,0,0,2,7,0,9,0,0,,0,0,8,1
Maya Yoshida,DF,Japan,34-105,1988,4.3,277,46,129,147,2,1,277,1,2,50.0,1,1,184,0
Mehdi Taremi,FW,IR Iran,30-142,1992,3.0,123,4,19,63,47,15,122,1,9,11.1,7,5,79,16
Mehdi Torabi,MF,IR Iran,28-088,1994,0.7,48,4,8,29,12,2,48,1,2,50.0,2,0,30,1
Memphis,FW,Netherlands,28-297,1994,2.4,119,0,6,50,64,13,119,2,7,28.6,8,7,99,24
Meshaal Barsham,GK,Qatar,24-296,1998,2.0,69,61,69,0,0,0,69,0,0,,0,0,29,0
Michael Estrada,FW,Ecuador,26-244,1996,2.5,71,1,2,46,23,7,71,2,3,66.7,6,2,59,9
Michał Skóraś,MF,Poland,22-295,2000,0.5,12,1,1,8,3,0,12,0,1,0.0,0,0,9,3
Michel Aebischer,MF,Switzerland,25-335,1997,0.2,4,0,0,2,2,0,4,0,0,,0,0,4,1
Michy Batshuayi,FW,Belgium,29-066,1993,1.7,42,0,0,24,18,6,42,1,3,33.3,5,4,34,10
Miki Yamane,DF,Japan,28-350,1993,0.7,36,0,3,21,13,1,36,1,1,100.0,0,0,13,1
Mikkel Damsgaard,MF,Denmark,22-157,2000,1.7,91,1,11,54,26,2,91,0,2,0.0,2,2,62,9
Milad Mohammadi,DF,IR Iran,29-069,1993,2.2,90,8,41,36,15,0,90,0,1,0.0,1,2,33,0
Milan Borjan,GK,Canada,35-045,1987,3.0,105,82,103,1,1,0,105,0,0,,1,0,42,0
Miloš Degenek,DF,Australia,28-223,1994,2.0,123,15,67,44,15,0,123,0,2,0.0,1,1,57,1
Miloš Veljković,DF,Serbia,27-072,1995,2.5,127,22,78,50,1,0,127,0,0,,0,0,91,0
Mislav Oršić,FW,Croatia,29-343,1992,0.2,15,0,2,5,8,3,15,1,1,100.0,1,0,11,1
Mitchell Duke,FW,Australia,31-323,1991,3.0,96,0,11,47,40,11,96,1,2,50.0,11,1,61,5
Mohamed Ali Ben Romdhane,MF,Tunisia,23-092,1999,0.8,31,1,5,18,10,3,31,1,3,33.3,0,5,15,3
Mohamed Dräger,DF,Tunisia,26-165,1996,1.5,70,4,25,27,20,3,70,1,2,50.0,5,0,33,3
Mohamed Kanno,MF,Saudi Arabia,28-076,1994,3.0,184,10,31,109,48,6,184,5,10,50.0,6,1,117,7
Mohammed Al-Breik,DF,Saudi Arabia,30-083,1992,0.7,57,3,15,22,20,2,57,0,0,,1,0,38,2
Mohammed Al-Owais,GK,Saudi Arabia,31-058,1991,3.0,113,87,111,3,0,0,113,0,0,,0,0,25,0
Mohammed Muntari,FW,Qatar,28-352,1993,0.7,28,2,5,18,5,3,28,0,0,,1,0,22,0
Mohammed Salisu,DF,Ghana,23-234,1999,3.0,184,27,102,72,11,6,184,0,0,,1,1,114,1
Mohammed Waad,MF,Qatar,23-080,1999,0.3,16,0,5,8,3,0,16,1,1,100.0,1,0,12,0
Moisés Caicedo,MF,Ecuador,21-035,2001,3.0,173,4,29,121,23,3,173,0,0,,3,1,117,1
Montassar Talbi,DF,Tunisia,24-195,1998,3.0,177,24,97,77,3,1,177,0,1,0.0,1,1,96,0
Morteza Pouraliganji,DF,IR Iran,30-232,1992,3.0,156,19,86,60,10,4,156,0,0,,1,0,84,3
Moumi Ngamaleu,FW,Cameroon,28-151,1994,1.1,34,0,6,12,18,5,34,2,4,50.0,2,3,26,9
Munir,GK,Morocco,33-211,1989,1.0,31,29,31,0,0,0,31,0,0,,0,0,8,0
Musab Kheder,DF,Qatar,29-072,1993,0.1,5,0,2,2,1,0,5,0,0,,1,0,3,1
Na Sang-ho,FW,Korea Republic,26-117,1996,1.3,60,1,4,15,41,4,60,0,4,0.0,4,4,40,8
Nader Ghandri,DF,Tunisia,27-292,1995,1.0,45,10,33,12,0,0,45,0,0,,0,0,22,0
Nahuel Molina,DF,Argentina,24-245,1998,3.2,237,5,67,119,52,2,237,1,1,100.0,2,2,161,9
Nampalys Mendy,MF,Senegal,30-167,1992,3.0,182,5,42,111,31,1,182,1,1,100.0,4,0,122,2
Nasser Al-Dawsari,FW,Saudi Arabia,23-353,1998,0.1,13,1,3,6,4,0,13,0,0,,0,1,10,1
Nathan Aké,DF,Netherlands,27-292,1995,4.0,306,25,133,166,7,0,306,0,1,0.0,0,0,235,0
Nathaniel Atkinson,DF,Australia,23-177,1999,0.9,43,4,15,21,7,0,43,0,2,0.0,0,3,18,2
Nawaf Al Abed,MF,Saudi Arabia,32-315,1990,1.0,51,0,1,23,28,4,51,1,2,50.0,6,5,41,6
Nayef Aguerd,DF,Morocco,26-252,1996,3.9,185,41,132,53,1,1,185,0,0,,1,0,118,0
Naïm Sliti,MF,Tunisia,30-133,1992,1.3,67,0,5,26,37,4,67,5,8,62.5,4,1,39,4
Neco Williams,DF,Wales,21-238,2001,2.3,138,4,35,66,40,5,138,1,7,14.3,6,2,60,3
Nemanja Gudelj,MF,Serbia,31-021,1991,1.0,59,2,22,32,5,0,59,0,0,,2,2,42,1
Nemanja Maksimović,MF,Serbia,27-315,1995,1.4,75,3,17,46,12,1,75,0,0,,2,1,41,2
Nemanja Radonjić,DF,Serbia,26-295,1996,0.7,36,1,9,8,19,1,36,0,5,0.0,2,1,21,1
Neymar,MF,Brazil,30-305,1992,1.8,119,0,6,65,49,10,118,2,11,18.2,7,8,102,14
Niclas Füllkrug,FW,Germany,29-301,1993,0.8,38,0,0,14,24,13,38,1,1,100.0,2,0,27,13
Nico Elvedi,DF,Switzerland,26-068,1996,2.0,165,26,93,69,3,1,165,0,0,,1,0,114,0
Nico Schlotterbeck,DF,Germany,23-006,1999,1.0,135,8,46,80,10,0,135,0,2,0.0,1,1,101,2
Nico Williams,FW,Spain,20-148,2002,1.6,88,0,5,38,47,4,88,5,16,31.3,9,2,69,10
Nicola Zalewski,MF,Poland,20-318,2002,0.7,29,1,8,11,12,0,29,0,2,0.0,3,1,18,2
Nicolas Jackson,FW,Senegal,21-170,2001,0.2,11,0,5,2,4,1,11,0,0,,1,0,9,2
Nicolas Nkoulou,DF,Cameroon,32-255,1990,2.0,115,19,79,33,5,3,115,0,0,,1,0,79,1
Nicolás De La Cruz,MF,Uruguay,25-189,1997,0.4,28,0,2,15,12,2,28,0,1,0.0,1,1,23,1
Nicolás Otamendi,DF,Argentina,34-298,1988,4.0,408,34,182,219,7,3,408,0,0,,0,0,318,2
Nicolás Tagliafico,DF,Argentina,30-098,1992,1.3,101,2,18,54,31,6,101,0,2,0.0,0,1,67,7
Niklas Süle,DF,Germany,27-095,1995,3.0,268,15,89,157,24,2,268,0,0,,0,1,204,1
Nikola Milenković,DF,Serbia,25-056,1997,3.0,198,22,85,104,10,2,198,0,0,,2,0,118,0
Nikola Vlašić,FW,Croatia,25-064,1997,0.9,35,1,2,17,17,6,35,0,2,0.0,2,5,29,6
Noah Okafor,FW,Switzerland,22-197,2000,0.5,29,0,1,17,11,1,29,0,3,0.0,2,1,23,6
Nouhou Tolo,DF,Cameroon,25-167,1997,3.0,145,17,58,58,31,2,145,1,5,20.0,4,0,66,1
Noussair Mazraoui,DF,Morocco,25-023,1997,3.6,148,15,72,55,22,1,148,1,3,33.3,5,0,62,3
Nuno Mendes,DF,Portugal,20-171,2002,0.5,36,0,6,18,13,0,36,1,2,50.0,1,0,27,0
Néstor Araujo,DF,Mexico,31-100,1991,1.0,62,1,16,40,6,0,62,0,0,,0,1,37,0
Olivier Giroud,FW,France,36-068,1986,2.5,54,1,3,31,20,11,54,0,0,,2,0,39,7
Olivier Ntcham,MF,Cameroon,26-301,1996,0.3,14,1,3,7,4,0,14,2,2,100.0,0,0,10,0
Orbelín Pineda,MF,Mexico,26-258,1996,0.8,46,1,5,21,21,4,46,0,2,0.0,3,3,31,1
Osman Bukari,MF,Ghana,23-359,1998,0.7,29,0,1,10,18,4,29,0,2,0.0,1,1,17,6
Otávio,MF,Portugal,27-301,1995,1.4,85,0,14,44,27,1,85,0,0,,2,2,66,4
Ousmane Dembélé,FW,France,25-206,1997,2.6,146,1,10,40,98,11,146,7,15,46.7,3,5,113,12
Pablo Sarabia,FW,Spain,30-210,1992,0.0,6,0,0,0,6,1,6,0,0,,0,0,3,0
Paik Seung-ho,MF,Korea Republic,25-265,1997,0.3,30,1,4,18,8,1,30,0,0,,0,0,19,0
Pape Abou Cissé,DF,Senegal,27-084,1995,1.2,49,10,35,12,2,2,49,1,1,100.0,0,0,32,0
Pape Gueye,MF,Senegal,23-317,1999,1.7,81,2,17,46,19,3,81,0,1,0.0,3,3,42,3
Pape Matar Sarr,MF,Senegal,20-084,2002,0.7,54,3,11,28,15,0,54,0,2,0.0,0,2,36,1
Papu Gómez,MF,Argentina,34-295,1988,1.2,69,0,8,39,23,1,69,1,2,50.0,1,1,58,5
Pathé Ciss,MF,Senegal,28-266,1994,1.6,74,6,20,49,9,1,74,1,3,33.3,4,1,40,0
Pau Torres,DF,Spain,25-325,1997,1.0,194,6,30,162,2,0,194,0,0,,0,0,175,0
Pedri,MF,Spain,20-012,2002,4.0,462,3,35,324,107,2,462,6,11,54.5,4,5,395,9
Pedro,FW,Brazil,25-170,1997,0.3,11,0,1,3,7,3,11,0,0,,1,1,10,3
Pepe,DF,Portugal,39-284,1983,3.0,222,21,122,97,4,3,222,1,1,100.0,0,1,153,0
Pervis Estupiñán,DF,Ecuador,24-320,1998,3.0,217,7,44,122,54,5,217,2,8,25.0,4,4,124,8
Phil Foden,FW,England,22-193,2000,1.9,108,1,4,44,61,7,108,2,3,66.7,5,1,83,18
Piero Hincapié,DF,Ecuador,20-332,2002,3.0,227,11,123,100,4,0,227,0,0,,4,0,167,0
Pierre Højbjerg,MF,Denmark,27-124,1995,3.0,249,13,56,175,20,0,249,1,2,50.0,3,2,180,4
Pierre Kunde,MF,Cameroon,27-134,1995,1.5,70,6,19,43,10,2,70,0,1,0.0,2,3,33,1
Piotr Zieliński,MF,Poland,28-201,1994,3.6,178,7,23,115,43,3,178,1,4,25.0,2,1,113,4
Przemysław Frankowski,MF,Poland,27-239,1995,2.7,97,6,22,42,34,1,97,2,4,50.0,3,3,56,4
Rafael Leão,FW,Portugal,23-180,1999,0.7,46,1,7,17,22,6,46,3,5,60.0,3,2,36,8
Raheem Sterling,FW,England,27-364,1994,1.5,59,1,3,33,24,6,59,2,3,66.7,4,3,50,11
Ramin Rezaeian,DF,IR Iran,32-261,1990,2.0,130,8,49,47,36,3,130,1,1,100.0,7,3,67,5
Randal Kolo Muani,FW,France,24-002,1998,1.0,36,1,3,12,22,5,36,2,5,40.0,3,3,25,5
Raphaël Guerreiro,DF,Portugal,28-350,1993,2.5,174,2,42,70,63,5,174,2,2,100.0,1,1,115,11
Raphaël Varane,DF,France,29-226,1993,2.5,147,18,79,63,6,2,147,1,1,100.0,0,0,109,0
Raphinha,FW,Brazil,25-358,1996,2.9,160,2,17,49,95,19,160,4,15,26.7,4,3,112,18
Rasmus Nissen,DF,Denmark,25-149,1997,2.5,204,7,34,97,74,4,204,1,5,20.0,3,3,131,13
Raúl Jiménez,FW,Mexico,31-216,1991,0.7,37,1,3,16,18,3,37,0,0,,2,0,24,4
Remo Freuler,MF,Switzerland,30-236,1992,3.6,197,6,48,109,41,4,197,0,4,0.0,12,0,124,5
Renato Steffen,FW,Switzerland,31-034,1991,0.4,19,2,8,7,4,0,19,0,0,,1,2,8,0
Ricardo Horta,FW,Portugal,28-083,1994,1.2,43,1,7,15,21,6,43,0,0,,2,0,28,6
Ricardo Rodríguez,DF,Switzerland,30-104,1992,4.0,248,12,89,120,41,2,248,0,0,,3,2,158,6
Richarlison,FW,Brazil,25-211,1997,2.7,76,3,9,24,44,12,76,0,5,0.0,9,2,47,14
Richie Laryea,DF,Canada,27-334,1995,1.8,73,8,22,25,28,10,73,2,6,33.3,4,1,42,7
Riley McGree,FW,Australia,24-035,1998,2.9,107,2,16,53,39,4,107,0,1,0.0,8,2,62,9
Ritsu Doan,FW,Japan,24-174,1998,2.4,95,3,15,37,43,6,95,4,8,50.0,7,3,50,4
Riyadh Sharahili,MF,Saudi Arabia,29-223,1993,0.6,28,6,11,16,2,0,28,1,2,50.0,1,1,10,0
Roan Wilson,MF,Costa Rica,20-220,2002,0.0,8,1,3,5,0,0,8,0,0,,0,0,5,1
Robert Lewandowski,FW,Poland,34-108,1988,4.0,153,9,13,73,69,19,151,5,12,41.7,16,6,113,14
Robert Skov,DF,Denmark,26-201,1996,0.2,24,0,3,6,15,1,24,0,1,0.0,0,0,17,3
Roberto Alvarado,FW,Mexico,24-091,1998,0.2,12,0,0,5,7,0,12,0,1,0.0,0,0,10,1
Rodri,DF,Spain,26-168,1996,4.3,710,28,157,518,35,3,710,0,0,,0,0,598,2
Rodrigo Bentancur,MF,Uruguay,25-165,1997,2.4,197,7,54,125,25,2,197,3,6,50.0,6,3,118,0
Rodrigo De Paul,MF,Argentina,28-197,1994,4.0,436,1,45,271,124,6,436,0,5,0.0,6,3,336,8
Rodrygo,MF,Brazil,21-332,2001,1.4,106,1,4,46,57,10,106,2,5,40.0,7,3,76,10
Rogelio Funes Mori,FW,Mexico,31-277,1991,0.1,2,0,0,1,1,0,2,0,0,,0,0,3,0
Romain Saïss,DF,Morocco,32-256,1990,4.3,212,43,141,71,3,1,212,1,2,50.0,0,0,113,0
Romario Ibarra,MF,Ecuador,28-074,1994,0.8,23,1,4,13,7,2,23,1,1,100.0,3,1,14,4
Romelu Lukaku,FW,Belgium,29-208,1993,0.6,16,1,2,5,9,6,16,1,1,100.0,1,1,12,6
Roozbeh Cheshmi,DF,IR Iran,29-136,1993,0.6,19,4,13,5,1,0,19,0,0,,1,0,4,0
Ruben Vargas,FW,Switzerland,24-124,1998,3.2,140,4,17,46,79,9,140,1,7,14.3,6,1,99,18
Rubin Colwill,MF,Wales,20-224,2002,0.1,6,1,1,3,2,0,6,0,0,,0,0,3,0
Ró-Ró,DF,Qatar,32-123,1990,2.9,134,9,50,63,21,3,134,2,4,50.0,4,2,84,4
Rónald Matarrita,DF,Costa Rica,28-151,1994,0.3,30,0,12,15,4,1,30,1,1,100.0,1,0,22,0
Rúben Dias,DF,Portugal,25-207,1997,3.0,192,22,117,75,1,1,192,0,0,,2,0,139,0
Rúben Neves,MF,Portugal,25-269,1997,2.4,207,7,56,120,31,0,207,0,0,,1,1,159,0
Saad Al Sheeb,GK,Qatar,32-291,1990,1.0,22,21,22,0,0,0,22,0,0,,0,0,8,0
